board_idx,uid,module,code,name,x_mm,y_mm,cut_w_mm,cut_h_mm,part_w_mm,part_h_mm,rotated,cantos
9,BB_BB17b_1,BB,BB17b,BB17_Caja_Mid_Der_Frente_Trasera,592,1493,592,183,589,180,0,Sin canto
9,BB_BB17b_2,BB,BB17b,BB17_Caja_Mid_Der_Frente_Trasera,1184,1493,592,183,589,180,0,Sin canto
9,BB_BB18b_1,BB,BB18b,BB18_Caja_Bot_Izq_Frente_Trasera,1776,1493,592,183,589,180,0,Sin canto
9,I_I21b_1,I,I21b,I21_Cajon_Inf_Frente_Trasera,2368,1493,372,173,369,170,0,Sin canto
9,BA_BA6_1,BA,BA6,Soporte_Sup_Fondo,0,1676,870,103,867,100,0,Sin canto
9,R_R5_1,R,R5,Travesano_Sup_Trasero,870,1676,767,103,764,100,0,Sin canto
9,H_H12_1,H,H12,Faja_Frontal_Inferior_50,1637,1676,639,53,636,50,0,Cantos vistos
9,BB_BB14a_2,BB,BB14a,BB14_Caja_Top_Izq_Lateral,2276,1676,503,63,500,60,0,Sin canto
10,BB_BB19b_1,BB,BB19b,BB19_Caja_Bot_Der_Frente_Trasera,0,0,592,183,589,180,0,Sin canto
10,BB_BB19b_2,BB,BB19b,BB19_Caja_Bot_Der_Frente_Trasera,592,0,592,183,589,180,0,Sin canto
10,BB_BB8_1,BB,BB8,Frente_Top,1184,0,673,142,670,139,0,4 cantos
10,BB_BB8_2,BB,BB8,Frente_Top,1857,0,673,142,670,139,0,4 cantos
10,BA_BA14a_1,BA,BA14a,BA14_Caja_Mid_Lateral,0,183,503,183,500,180,0,Sin canto
10,BA_BA14a_2,BA,BA14a,BA14_Caja_Mid_Lateral,503,183,503,183,500,180,0,Sin canto
10,BA_BA15a_1,BA,BA15a,BA15_Caja_Bot_Lateral,1006,183,503,183,500,180,0,Sin canto
10,BA_BA15a_2,BA,BA15a,BA15_Caja_Bot_Lateral,1509,183,503,183,500,180,0,Sin canto
10,BB_BB16a_1,BB,BB16a,BB16_Caja_Mid_Izq_Lateral,2012,183,503,183,500,180,0,Sin canto
10,BB_BB16a_2,BB,BB16a,BB16_Caja_Mid_Izq_Lateral,0,366,503,183,500,180,0,Sin canto
10,BB_BB17a_1,BB,BB17a,BB17_Caja_Mid_Der_Lateral,503,366,503,183,500,180,0,Sin canto
10,BB_BB17a_2,BB,BB17a,BB17_Caja_Mid_Der_Lateral,1006,366,503,183,500,180,0,Sin canto
10,BB_BB18a_1,BB,BB18a,BB18_Caja_Bot_Izq_Lateral,1509,366,503,183,500,180,0,Sin canto
10,BB_BB18a_2,BB,BB18a,BB18_Caja_Bot_Izq_Lateral,2012,366,503,183,500,180,0,Sin canto
